SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
Akzo Nobel India Limited,ICI,AKZOINDIA,27-May-10
Alembic Limited,ALMBICHEM,ALEMBICLTD,22-Sep-99
Alicon Castalloy Limited,ENKEI,ALICON,04-Mar-11
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN,20-Aug-01
Ambuja Cements Limited,GUJAMBCEM,AMBUJACEM,24-Jul-07
Anik Industries Limited,MPGLYCEM,ANIKINDS,21-May-08
Ansal Properties & Infrastructure Limited,ANSALPROP,ANSALINFRA,27-Jan-06
Ansal Properties & Infrastructure Limited,ANSALINFRA,ANSALAPI,14-May-10
Apcotex Industries Limited,APCOTEXLAT,APCOTEXIND,01-Nov-06
Arrow Greentech Limited,ARROWCOAT,ARROWGREEN,11-May-16
Arvind Limited,ARVINDMILL,ARVIND,07-Jul-08
AstraZeneca Pharma India Limited,ASTRAIDL,ASTRAZEN,10-Apr-07
Atcom Technologies Limited,ATCOIND,ATCOM,29-Apr-04
Atul Limited,ATULPROD,ATUL,10-Mar-05
Ausom Enterprise Limited,COREBIO,COREEMBLG,15-Oct-01
Ausom Enterprise Limited,COREEMBLG,AUSOMENT,01-Dec-09
Automotive Stampings and Assemblies Limited,JBMT,ASAL,14-Oct-03
Axis Bank Limited,UTIBANK,AXISBANK,16-Aug-07
Aztecsoft Limited,AZTEC,AZTECSOFT,20-Sep-06
BS LIMITED,BSTRANSCOM,BSLIMITED,29-Nov-12
BSEL Infrastructure Realty Limited,BSELINFO,BSELINFRA,12-Mar-04
Bajaj Finance Limited,BAJAUTOFIN,BAJFINANCE,29-Sep-10
Bajaj Holdings & Investment Limited,BAJAJAUTO,BAJAJHLDNG,14-Mar-08
Balkrishna Paper Mills Limited,NIRVIKARA,BALKRISHNA,06-Sep-16
Banco Products (I) Limited,BANCOPROD,BANCOINDIA,22-Dec-06
Bhagyanagar India Limited,BAGYAMETAL,BHAGYNAGAR,12-Sep-06
Bhansali Engineering Polymers Limited,BHANSALENG,BEPL,21-Mar-05
Bharat Bijlee Limited,BARATBIJLE,BBL,21-Nov-06
Bharat Financial Inclusion Limited,SKSMICRO,BHARATFIN,01-Jul-16
Bharati Defence and Infrastructure Limited,BHARTISHIP,BHARATIDIL,26-Feb-16
Bharti Airtel Limited,BHARTI,BHARTIARTL,19-Jun-06
Birla Cable Limited,BIRLAERIC,BIRLACABLE,26-Sep-16
Birla Corporation Limited,BIRLAJUTE,BIRLACORPN,28-Jul-08
Birla Power Solutions Limited,BIRLAYAMAH,BIRLAPOWER,06-Jun-07
Blue Coast Hotels Limited,MOREPENHTL,BLUECOAST,05-Dec-06
Bosch Chassis Systems India Limited,KALYANBRAK,BOSCHCHASY,10-Feb-06
Bosch Limited,MICO,BOSCHLTD,28-Feb-08
Brabourne Enterprises Limited,SEARLEIND,RPGLS,05-Dec-06
Brabourne Enterprises Limited,RPGLS,BRABOURNE,14-Mar-08
CORE Education & Technologies Limited,COREPROTEC,COREEDUTEC,07-Sep-11
Capital First Limited,FCH,CAPF,06-Dec-12
Capri Global Capital Limited,MMFSL,CGCL,05-Aug-13
Career Point Limited,CPIL,CAREERP,16-Nov-11
Carol Info Services Limited,WOCKLIFE,CAROLINFO,27-Sep-04
Castex Technologies Limited,AMTEKINDIA,CASTEXTECH,11-Jun-15
Centurion Bank of Punjab Limited,CENBNK,CENTBOP,06-Dec-05
Chennai Petroleum Corporation Limited,MADRASREFN,CHENNPETRO,09-Aug-00
Chettinad Cement Corporation Limited,CHETNADCEM,CHETTINAD,17-May-07
Cholamandalam Investment and Finance Company Limited,CHOLAINV,CHOLADBS,01-Jun-06
Cholamandalam Investment and Finance Company Limited,CHOLADBS,CHOLAFIN,22-Jun-10
Cineline India Limited,CINEPRO,CINELINE,23-Aug-13
Clariant Chemicals (India) Limited,COLORCHEM,CLNINDIA,05-Jun-06
Coral Hub Limited,VITLINFO,CORALHUB,26-Jul-10
Coromandel International Limited,COROMNFERT,COROMANDEL,12-Oct-09
Country Condo's Limited,NEOCURE,COUNCODOS,31-Aug-12
Crest Animation Studios Limited,CRESTCOMM,CRESTANI,04-Jan-05
Crest Ventures Limited,SHARYANRES,SHARRESLTD,27-Dec-06
Crest Ventures Limited,SHARRESLTD,CREST,16-Oct-14
Cummins India Limited,KIRLOSKCUM,CUMMINSIND,17-Jun-05
Cura Technologies Limited,SOFTPRO,CURATECH,23-Nov-10
Cyient Limited,INFOTECENT,CYIENT,22-May-14
DCB BANK LIMITED,DCB,DCBBANK,15-Jan-14
DCM Shriram Limited,DCMSRMCONS,DCMSHRIRAM,13-Mar-14
